area,date,average_price,houses_sold,no_of_crimes,median_salary,life_satisfaction,mean_salary,population_size,number_of_jobs,area_size,no_of_houses,density,code
brent,2016/12/31,489469.4167,249.3333333,2302.5,30699,7.67,36579,328254,148000,4323,116649,27,E09000005
brent,2017/12/31,487703.75,185.25,2480,30134,7.79,35840,329102,157000,4323,118013,27.3,E09000005
brent,2018/12/31,492845.3333,166.0833333,2566.833333,30366,7.71,35830,330795,157000,4323,118707,27.5,E09000005
bromley,2011/12/31,274874.5,361.25,1845,28163,7.5,32863,310554,119000,15013,135036,9,E09000006
bromley,2012/12/31,282025.0833,403.75,1721.25,28082,7.6,33859,314036,122000,15013,135612,9,E09000006
bromley,2013/12/31,296669.25,457.1666667,1624,28126,7.53,34133,317899,129000,15013,136304,9.1,E09000006
bromley,2014/12/31,347857.3333,514.0833333,1682.083333,27926,7.71,33458,321278,127000,15013,136453,9.1,E09000006
bromley,2015/12/31,385681.5,504.5,1758.333333,30444,7.54,35238,324857,124000,15013,136864,9.1,E09000006
bromley,2016/12/31,428008.1667,437.25,1727.833333,30861,7.6,35338,326889,134000,15013,137564,9.2,E09000006
bromley,2017/12/31,441218.6667,400.5,1898.833333,29819,7.31,34354,329391,134000,15013,138422,9.2,E09000006
bromley,2018/12/31,443410,386.9166667,1936.083333,30762,7.57,35201,331096,127000,15013,138976,9.3,E09000006
camden,2011/12/31,554393,218.3333333,3018.416667,35967,7.25,45588,220087,331000,2179,99828,45.8,E09000007
camden,2012/12/31,586166,201.0833333,2806,36962,7.24,44832,224962,344000,2179,100196,46,E09000007
camden,2013/12/31,667447.5833,244.1666667,2441.916667,36336,7.11,45539,229719,355000,2179,100760,46.2,E09000007
camden,2014/12/31,756486.3333,231.6666667,2328.25,36748,7.25,44629,234846,379000,2179,101214,46.5,E09000007
camden,2015/12/31,787440.9167,207.25,2528.75,36970,7.35,45489,241059,383000,2179,101653,46.7,E09000007
camden,2016/12/31,807119,183.0833333,2514.5,37817,7.56,45644,246181,394000,2179,102618,47.1,E09000007
camden,2017/12/31,839347.5,182.9166667,3162,38147,7.31,44970,253361,398000,2179,103826,47.7,E09000007
camden,2018/12/31,842410.5,153.25,2971.166667,39198,7.48,46502,262226,403000,2179,104771,48.1,E09000007
city of london,2011/12/31,463930.8333,21.25,1735.083333,54381,7.3,90842,7412,436000,315,5513,17.5,E09000001
city of london,2012/12/31,525327.5,16.41666667,1644.833333,54000,7.34,86987,7604,449000,315,5531,17.6,E09000001
city of london,2013/12/31,570008.6667,36.08333333,1423.083333,54202,7.38,83403,7648,463000,315,5566,17.7,E09000001
city of london,2014/12/31,709385.4167,26.91666667,1654.333333,54710,7.45,82808,8072,498000,315,6003,19.1,E09000001
city of london,2015/12/31,760253.1667,25.66666667,1713.083333,54034,7.52,77754,8760,541000,315,6229,19.8,E09000001
city of london,2016/12/31,818315.5,14.33333333,1643,55487,7.58,79489,9401,586000,315,6306,20,E09000001
city of london,2017/12/31,849790.1667,18.25,1521.083333,56295,7.58,80655,7654,626000,315,6313,20,E09000001
city of london,2018/12/31,784809,32.66666667,1434.75,61203,7.6,90028,8706,640000,315,6451,20.5,E09000001
croydon,2011/12/31,215427.5833,291.0833333,2697.666667,28979,7.04,33050,364815,136000,8650,148099,17.1,E09000008
croydon,2012/12/31,221817.0833,301.4166667,2701.333333,28974,7.01,33831,368886,141000,8650,148806,17.2,E09000008
croydon,2013/12/31,234439.8333,404.3333333,2370.916667,30939,7.36,35213,372752,130000,8650,149697,17.3,E09000008
croydon,2014/12/31,274827.4167,500.8333333,2362.25,31154,7.35,34769,376040,142000,8650,150992,17.5,E09000008
croydon,2015/12/31,307064.1667,480.5,2444.333333,30628,7.45,34199,379031,144000,8650,152515,17.6,E09000008
croydon,2017/12/31,372554.4167,417.9166667,2549,32109,7.49,35839,384837,155000,8650,157394,18.2,E09000008
croydon,2018/12/31,370298.4167,348.5833333,2585.916667,33804,7.69,36880,385346,149000,8650,159470,18.4,E09000008
ealing,2011/12/31,302306.9167,250.9166667,2739.916667,28646,7.22,34725,339314,148000,5554,127187,22.9,E09000009
ealing,2012/12/31,318697.75,269.75,2581.5,31104,7.22,35024,340671,148000,5554,127872,23,E09000009
ealing,2013/12/31,338088.8333,320.6666667,2227.75,29733,7.24,33210,342494,152000,5554,128862,23.2,E09000009
ealing,2014/12/31,400039.1667,291.8333333,2142.666667,28825,7.6,32716,342118,159000,5554,129631,23.3,E09000009
ealing,2015/12/31,438310.5833,305.75,2251,28657,7.65,31980,343059,163000,5554,130528,23.5,E09000009
ealing,2016/12/31,476440.6667,264.6666667,2328.5,29241,7.42,34468,343196,168000,5554,131249,23.6,E09000009
ealing,2017/12/31,484592.0833,232.25,2359.75,30259,7.55,36039,342736,168000,5554,132094,23.8,E09000009
ealing,2018/12/31,480050.5833,232.6666667,2358.916667,29928,7.53,36304,341982,148000,5554,133551,24,E09000009
enfield,2011/12/31,241991.25,226.4166667,1965.75,26412,7.23,31797,313935,110000,8220,122042,14.8,E09000010
enfield,2012/12/31,247667.25,233.4166667,1888.666667,27123,7.24,31749,317287,117000,8220,122339,14.9,E09000010
enfield,2013/12/31,261604.4167,284.6666667,1862.916667,25805,7.28,30011,320524,118000,8220,122888,14.9,E09000010
enfield,2014/12/31,294515.6667,325.3333333,1867.666667,25805,7.45,29804,324574,127000,8220,123400,15,E09000010
enfield,2015/12/31,335503.6667,314.25,1903.5,26230,7.3,31041,328433,133000,8220,123799,15.1,E09000010
enfield,2016/12/31,385489.75,269.9166667,1940.666667,28918,7.29,33076,331395,129000,8220,124471,15.1,E09000010
enfield,2017/12/31,395929.1667,235.75,2102.083333,29134,7.34,34096,332705,126000,8220,125369,15.3,E09000010
enfield,2018/12/31,396631.6667,213.0833333,2332.333333,29238,7.37,37030,333869,133000,8220,125755,15.3,E09000010
greenwich,2011/12/31,229295.4167,213.3333333,1903.75,29932,7.18,32581,255483,81000,5044,103186,20.5,E09000011
greenwich,2012/12/31,236980.8333,230.3333333,1789.916667,30097,7.15,32764,260068,82000,5044,104509,20.7,E09000011
greenwich,2013/12/31,253399.25,294.5,1645.166667,29251,7.15,33060,264008,86000,5044,104623,20.7,E09000011
greenwich,2014/12/31,298351.5833,385.4166667,1718.666667,28954,7.33,31690,268678,95000,5044,105735,21,E09000011
greenwich,2015/12/31,331848.9167,358.4166667,1801.166667,30497,7.23,33856,274803,96000,5044,106883,21.2,E09000011
greenwich,2016/12/31,372737.75,316.8333333,1960.916667,30180,7.28,33568,279766,96000,5044,108603,21.5,E09000011
greenwich,2017/12/31,391749.8333,294.6666667,2127.083333,32635,7.47,35702,282849,102000,5044,110983,22,E09000011
greenwich,2018/12/31,388344.4167,291,2142.75,33163,7.54,36288,286186,106000,5044,112884,22.4,E09000011
hackney,2011/12/31,308698.3333,184.75,2305.5,33512,7,42089,247182,113000,1905,102408,53.8,E09000012
hackney,2012/12/31,325492.6667,218.1666667,2380.916667,34803,7.07,41030,252119,112000,1905,103565,54.4,E09000012
hackney,2013/12/31,372669,226.6666667,2190.75,33097,7.05,39044,257379,111000,1905,104365,54.8,E09000012
hackney,2014/12/31,456388.5,243.1666667,2100,33116,7.43,40241,263150,131000,1905,105490,55.4,E09000012
hackney,2015/12/31,506799.0833,243.5,2274.166667,31566,7.31,38327,269009,136000,1905,106748,56,E09000012
hackney,2016/12/31,537746.3333,204.6666667,2427.666667,32404,7.26,39387,273526,143000,1905,107574,56.5,E09000012
hackney,2017/12/31,549005.5,189.9166667,2652.25,33618,7.34,42457,275929,139000,1905,108770,57.1,E09000012
